ts,flow_id,model_version,p0,p1,p2,flow total IEC104_S_Message packets,init bw window bytes,init fw window bytes,flow total IEC104_U_Message packets,flow ACK flag count,flow PSH flag count,total flow packets,bw total IEC104_U_Message packets,fw_subflow_bytes,fw_subflow_packets,flow packet APDU length var,fw IAT std,fw total IEC104_U_Message packets,total fw packets,fw packets APDU total length
1766231220.017748,10.0.0.11:40522|10.0.0.14:2404|6|w0,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,15.0,510.0,502.0,0.0,202.0,145.0,202.0,0.0,3886.0,57.0,18.180927467300876,0.3866912308743103,0.0,57.0,124.0
1766231220.042474,10.0.0.11:44912|10.0.0.17:2404|6|w0,rf_model_three.pkl,0.62,0.20909928328057717,0.17090071671942283,9.0,510.0,502.0,0.0,158.0,100.0,158.0,0.0,3916.0,58.0,16.461599999999976,0.5605726486930006,0.0,58.0,88.0
1766231220.1476219,10.0.0.11:36826|10.0.0.16:2404|6|w0,rf_model_three.pkl,0.6133333333333333,0.21909928328057718,0.16756738338608948,26.0,510.0,501.0,0.0,313.0,236.0,313.0,0.0,5272.0,77.0,19.21150531456476,0.4722059919532259,0.0,77.0,190.0
1766231220.1824775,10.0.0.11:52284|10.0.0.18:2404|6|w0,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,20.0,510.0,501.0,0.0,265.0,190.0,265.0,0.0,5104.0,75.0,18.62448753462604,0.4658334042153147,0.0,75.0,154.0
1766231220.2880108,10.0.0.11:40980|10.0.0.12:2404|6|w0,rf_model_three.pkl,0.5566666666666666,0.23104170253597298,0.2122916307973603,2.0,510.0,502.0,0.0,22.0,11.0,22.0,0.0,772.0,11.0,15.68595041322314,2.308590850953861,0.0,11.0,46.0
1766231220.3268747,10.0.0.11:46264|10.0.0.13:2404|6|w0,rf_model_three.pkl,0.64,0.19602124630780335,0.1639787536921966,9.0,510.0,502.0,0.0,144.0,81.0,144.0,0.0,4378.0,65.0,15.076665142508773,1.0909199584141018,0.0,65.0,88.0
1766231220.4547231,10.0.0.11:60604|10.0.0.15:2404|6|w0,rf_model_three.pkl,0.6066666666666667,0.2094473371232385,0.18388599621009485,2.0,510.0,502.0,2.0,29.0,17.0,29.0,1.0,910.0,13.0,22.415224913494825,3.1142122222054387,1.0,13.0,52.0
1766231220.4696372,10.0.0.11:36496|10.0.0.90:2404|6|w0,rf_model_three.pkl,0.6066666666666667,0.2094473371232385,0.18388599621009485,2.0,510.0,502.0,2.0,32.0,17.0,32.0,1.0,1042.0,15.0,22.415224913494825,3.0932061520759353,1.0,15.0,52.0
1766231220.546728,192.168.1.20:49252|192.168.1.24:2404|6|w0,rf_model_three.pkl,0.36333333333333334,0.35293305728088337,0.2837336093857833,3.0,256.0,16425.0,2.0,9.0,9.0,9.0,1.0,250.0,4.0,24.691358024691354,4.788205601807827,1.0,4.0,34.0
1766231269.9757051,10.0.0.11:40522|10.0.0.14:2404|6|w1,rf_model_three.pkl,0.6133333333333333,0.21843261661391045,0.16823405005275616,17.0,510.0,502.0,0.0,232.0,152.0,232.0,0.0,5416.0,80.0,19.462603878116283,0.4786273907370093,0.0,80.0,136.0
