exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766337657.3398514,1766337657.3499308,10.079383850097656
1,three_nodes,10.0.0.11:2404,1766337657.5399923,1766337657.5431983,3.206014633178711
1,three_nodes,10.0.0.11:2404,1766337657.7401812,1766337657.7417293,1.5480518341064453
1,three_nodes,10.0.0.11:2404,1766337657.938748,1766337657.9401312,1.3833045959472656
1,three_nodes,10.0.0.11:2404,1766337658.1396782,1766337658.141109,1.4307498931884766
1,three_nodes,10.0.0.11:2404,1766337658.3384519,1766337658.339471,1.0192394256591797
1,three_nodes,10.0.0.11:2404,1766337658.5385005,1766337658.5393395,0.8389949798583984
1,three_nodes,10.0.0.11:2404,1766337658.738426,1766337658.7391446,0.7185935974121094
1,three_nodes,10.0.0.11:2404,1766337658.9398632,1766337658.9412322,1.3689994812011719
1,three_nodes,10.0.0.11:2404,1766337659.1398664,1766337659.141092,1.2257099151611328
1,three_nodes,10.0.0.11:2404,1766337659.3395383,1766337659.3399541,0.415802001953125
1,three_nodes,10.0.0.11:2404,1766337659.5401516,1766337659.5408072,0.6556510925292969
1,three_nodes,10.0.0.11:2404,1766337659.739757,1766337659.7402036,0.44655799865722656
1,three_nodes,10.0.0.11:2404,1766337659.9398189,1766337659.9403565,0.5376338958740234
1,three_nodes,10.0.0.11:2404,1766337660.1394017,1766337660.140258,0.8563995361328125
1,three_nodes,10.0.0.11:2404,1766337660.3392794,1766337660.3401558,0.8764266967773438
1,three_nodes,10.0.0.11:2404,1766337660.5393157,1766337660.5402555,0.9398460388183594
1,three_nodes,10.0.0.11:2404,1766337660.740082,1766337660.7405162,0.4341602325439453
1,three_nodes,10.0.0.11:2404,1766337660.938501,1766337660.939085,0.5841255187988281
1,three_nodes,10.0.0.11:2404,1766337661.1387303,1766337661.139196,0.46563148498535156
1,three_nodes,10.0.0.11:2404,1766337661.3396974,1766337661.3403897,0.6923675537109375
1,three_nodes,10.0.0.11:2404,1766337661.540307,1766337661.541022,0.7150173187255859
1,three_nodes,10.0.0.11:2404,1766337661.7399535,1766337661.7407336,0.7801055908203125
1,three_nodes,10.0.0.11:2404,1766337661.9399443,1766337661.9407146,0.7703304290771484
1,three_nodes,10.0.0.11:2404,1766337662.1399415,1766337662.1407063,0.7648468017578125
1,three_nodes,10.0.0.11:2404,1766337662.3394084,1766337662.3399963,0.5879402160644531
1,three_nodes,10.0.0.11:2404,1766337662.5398097,1766337662.5404818,0.6721019744873047
1,three_nodes,10.0.0.11:2404,1766337662.7383428,1766337662.7387402,0.3974437713623047
1,three_nodes,10.0.0.11:2404,1766337662.9396348,1766337662.940903,1.268148422241211
1,three_nodes,10.0.0.11:2404,1766337663.139497,1766337663.1403878,0.8907318115234375
1,three_nodes,10.0.0.11:2404,1766337663.3400855,1766337663.3410084,0.9229183197021484
1,three_nodes,10.0.0.11:2404,1766337663.540105,1766337663.5412169,1.111745834350586
1,three_nodes,10.0.0.11:2404,1766337663.7398043,1766337663.7411275,1.3232231140136719
1,three_nodes,10.0.0.11:2404,1766337663.9391413,1766337663.9402478,1.1065006256103516
1,three_nodes,10.0.0.11:2404,1766337664.139369,1766337664.1405108,1.1417865753173828
1,three_nodes,10.0.0.11:2404,1766337664.3598304,1766337664.3605485,0.7181167602539062
1,three_nodes,10.0.0.11:2404,1766337664.5406582,1766337664.5414875,0.8292198181152344
