exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766351502.9619184,1766351502.9627879,0.8695125579833984
1,three_nodes,10.0.0.11:2404,1766351507.962278,1766351507.9631126,0.8347034454345703
1,three_nodes,10.0.0.11:2404,1766351512.9633288,1766351512.9646447,1.3158321380615234
1,three_nodes,10.0.0.11:2404,1766351517.9638708,1766351517.966364,2.493143081665039
1,three_nodes,10.0.0.11:2404,1766351522.963471,1766351522.9652538,1.7828941345214844
1,three_nodes,10.0.0.11:2404,1766351527.9631162,1766351527.96412,1.0037422180175781
1,three_nodes,10.0.0.11:2404,1766351532.9636514,1766351536.3087845,3345.133066177368
1,three_nodes,10.0.0.11:2404,1766351537.9633954,1766351537.9648292,1.4338493347167969
1,three_nodes,10.0.0.11:2404,1766351542.9634683,1766351542.9647582,1.2898445129394531
1,three_nodes,10.0.0.11:2404,1766351547.9629354,1766351547.9646692,1.7337799072265625
1,three_nodes,10.0.0.11:2404,1766351552.9637074,1766351552.9657288,2.021312713623047
1,three_nodes,10.0.0.11:2404,1766351557.9619343,1766351557.9626784,0.7441043853759766
1,three_nodes,10.0.0.11:2404,1766351562.961948,1766351562.9636772,1.7292499542236328
1,three_nodes,10.0.0.11:2404,1766351567.9636734,1766351567.9656281,1.954793930053711
1,three_nodes,10.0.0.11:2404,1766351572.9633534,1766351572.9653428,1.9893646240234375
1,three_nodes,10.0.0.11:2404,1766351577.963404,1766351577.9651978,1.7938613891601562
1,three_nodes,10.0.0.11:2404,1766351582.9629815,1766351582.9639525,0.9710788726806641
1,three_nodes,10.0.0.11:2404,1766351587.963573,1766351587.9652505,1.6775131225585938
1,three_nodes,10.0.0.11:2404,1766351592.9632678,1766351592.9642804,1.012563705444336
1,three_nodes,10.0.0.11:2404,1766351597.9639535,1766351597.9651685,1.2149810791015625
1,three_nodes,10.0.0.11:2404,1766351602.962823,1766351602.9644659,1.6429424285888672
1,three_nodes,10.0.0.11:2404,1766351607.9637723,1766351607.964757,0.9846687316894531
1,three_nodes,10.0.0.11:2404,1766351612.9622183,1766351612.9630344,0.8161067962646484
1,three_nodes,10.0.0.11:2404,1766351617.962421,1766351617.963694,1.2731552124023438
1,three_nodes,10.0.0.11:2404,1766351622.963649,1766351622.965546,1.8968582153320312
1,three_nodes,10.0.0.11:2404,1766351627.9629927,1766351627.9645834,1.590728759765625
1,three_nodes,10.0.0.11:2404,1766351632.9636467,1766351632.9650347,1.3880729675292969
1,three_nodes,10.0.0.11:2404,1766351637.9629436,1766351637.9639797,1.0361671447753906
1,three_nodes,10.0.0.11:2404,1766351642.9627318,1766351642.9646502,1.9183158874511719
1,three_nodes,10.0.0.11:2404,1766351647.9632633,1766351647.9647837,1.520395278930664
1,three_nodes,10.0.0.11:2404,1766351652.9636867,1766351652.9656246,1.9378662109375
1,three_nodes,10.0.0.11:2404,1766351657.9634955,1766351657.9653487,1.8532276153564453
1,three_nodes,10.0.0.11:2404,1766351662.9628863,1766351662.9639754,1.0890960693359375
1,three_nodes,10.0.0.11:2404,1766351667.9624653,1766351667.9632754,0.8101463317871094
1,three_nodes,10.0.0.11:2404,1766351672.9630704,1766351672.9649434,1.873016357421875
1,three_nodes,10.0.0.11:2404,1766351677.963753,1766351677.9655492,1.7962455749511719
1,three_nodes,10.0.0.11:2404,1766351682.96183,1766351682.9634671,1.6372203826904297
1,three_nodes,10.0.0.11:2404,1766351687.9635003,1766351687.9651659,1.6655921936035156
1,three_nodes,10.0.0.11:2404,1766351692.9629662,1766351692.9643457,1.3794898986816406
1,three_nodes,10.0.0.11:2404,1766351697.9636805,1766351697.9652636,1.583099365234375
1,three_nodes,10.0.0.11:2404,1766351702.9626818,1766351702.9634197,0.7379055023193359
1,three_nodes,10.0.0.11:2404,1766351707.9633312,1766351707.9645977,1.2664794921875
1,three_nodes,10.0.0.11:2404,1766351712.9633944,1766351712.9650352,1.6407966613769531
1,three_nodes,10.0.0.11:2404,1766351717.9635532,1766351717.9655945,2.041339874267578
1,three_nodes,10.0.0.11:2404,1766351722.9633834,1766351722.9649372,1.5537738800048828
1,three_nodes,10.0.0.11:2404,1766351727.9622333,1766351727.9629474,0.7140636444091797
1,three_nodes,10.0.0.11:2404,1766351732.961871,1766351732.9631312,1.2602806091308594
1,three_nodes,10.0.0.11:2404,1766351737.965639,1766351737.9672525,1.6133785247802734
1,three_nodes,10.0.0.11:2404,1766351742.9618938,1766351742.963388,1.4941692352294922
