exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766337474.163911,1766337474.1656356,1.7244815826416016
1,three_nodes,10.0.0.11:2404,1766337474.3632557,1766337474.3649964,1.7406940460205078
1,three_nodes,10.0.0.11:2404,1766337474.5631485,1766337474.5652764,2.1278858184814453
1,three_nodes,10.0.0.11:2404,1766337474.763099,1766337474.765213,2.1140575408935547
1,three_nodes,10.0.0.11:2404,1766337474.9642668,1766337474.9660697,1.8029212951660156
1,three_nodes,10.0.0.11:2404,1766337475.164357,1766337475.1660287,1.6717910766601562
1,three_nodes,10.0.0.11:2404,1766337475.3640814,1766337475.3656723,1.5909671783447266
1,three_nodes,10.0.0.11:2404,1766337475.5637627,1766337475.5655475,1.7848014831542969
1,three_nodes,10.0.0.11:2404,1766337475.7637115,1766337475.7664788,2.767324447631836
1,three_nodes,10.0.0.11:2404,1766337475.96373,1766337475.9662457,2.515554428100586
1,three_nodes,10.0.0.11:2404,1766337476.1634338,1766337476.165782,2.348184585571289
1,three_nodes,10.0.0.11:2404,1766337476.3635588,1766337476.364901,1.3422966003417969
1,three_nodes,10.0.0.11:2404,1766337476.5633378,1766337476.565172,1.8341541290283203
1,three_nodes,10.0.0.11:2404,1766337476.7634928,1766337476.7651334,1.6405582427978516
1,three_nodes,10.0.0.11:2404,1766337476.9642017,1766337476.965565,1.3632774353027344
1,three_nodes,10.0.0.11:2404,1766337477.1640592,1766337477.1656735,1.6143321990966797
1,three_nodes,10.0.0.11:2404,1766337477.3621948,1766337477.3636312,1.436471939086914
1,three_nodes,10.0.0.11:2404,1766337477.5637748,1766337477.565807,2.0322799682617188
1,three_nodes,10.0.0.11:2404,1766337477.764138,1766337477.7660487,1.9106864929199219
1,three_nodes,10.0.0.11:2404,1766337477.96442,1766337477.9657028,1.2826919555664062
1,three_nodes,10.0.0.11:2404,1766337478.1620595,1766337478.163702,1.642465591430664
1,three_nodes,10.0.0.11:2404,1766337478.3622327,1766337478.3630738,0.8411407470703125
1,three_nodes,10.0.0.11:2404,1766337478.5621274,1766337478.5635078,1.3804435729980469
1,three_nodes,10.0.0.11:2404,1766337478.7619805,1766337478.7636726,1.692056655883789
1,three_nodes,10.0.0.11:2404,1766337478.9620821,1766337478.962927,0.8449554443359375
1,three_nodes,10.0.0.11:2404,1766337479.1638985,1766337479.1658342,1.935720443725586
1,three_nodes,10.0.0.11:2404,1766337479.3646662,1766337479.3663697,1.703500747680664
1,three_nodes,10.0.0.11:2404,1766337479.5641785,1766337479.5662627,2.0842552185058594
1,three_nodes,10.0.0.11:2404,1766337479.7629607,1766337479.765905,2.9442310333251953
1,three_nodes,10.0.0.11:2404,1766337479.9634187,1766337479.9657996,2.380847930908203
1,three_nodes,10.0.0.11:2404,1766337480.1638358,1766337480.1659014,2.0656585693359375
1,three_nodes,10.0.0.11:2404,1766337480.3634675,1766337480.3663409,2.8734207153320312
1,three_nodes,10.0.0.11:2404,1766337480.5636876,1766337480.5659876,2.3000240325927734
1,three_nodes,10.0.0.11:2404,1766337480.764127,1766337480.766176,2.048969268798828
1,three_nodes,10.0.0.11:2404,1766337480.963606,1766337480.965828,2.221822738647461
1,three_nodes,10.0.0.11:2404,1766337481.1631913,1766337481.1652184,2.0270347595214844
1,three_nodes,10.0.0.11:2404,1766337481.363692,1766337481.3660953,2.40325927734375
1,three_nodes,10.0.0.11:2404,1766337481.5620744,1766337481.56369,1.6155242919921875
1,three_nodes,10.0.0.11:2404,1766337481.7643938,1766337481.7664452,2.0513534545898438
1,three_nodes,10.0.0.11:2404,1766337481.9633174,1766337481.965257,1.939535140991211
1,three_nodes,10.0.0.11:2404,1766337482.1631835,1766337482.16549,2.3064613342285156
1,three_nodes,10.0.0.11:2404,1766337482.362084,1766337482.363836,1.7521381378173828
1,three_nodes,10.0.0.11:2404,1766337482.5643864,1766337482.566663,2.2766590118408203
1,three_nodes,10.0.0.11:2404,1766337482.7642236,1766337482.7666385,2.4149417877197266
1,three_nodes,10.0.0.11:2404,1766337482.9626424,1766337482.965204,2.5615692138671875
1,three_nodes,10.0.0.11:2404,1766337483.1638045,1766337483.1649284,1.1239051818847656
1,three_nodes,10.0.0.11:2404,1766337483.3638005,1766337483.3656795,1.878976821899414
1,three_nodes,10.0.0.11:2404,1766337483.5639782,1766337483.5655909,1.6126632690429688
1,three_nodes,10.0.0.11:2404,1766337483.7639525,1766337483.7660105,2.0580291748046875
1,three_nodes,10.0.0.11:2404,1766337483.9629745,1766337483.965026,2.0513534545898438
1,three_nodes,10.0.0.11:2404,1766337484.1634169,1766337484.1655974,2.1805763244628906
1,three_nodes,10.0.0.11:2404,1766337484.3623013,1766337484.3641481,1.8467903137207031
1,three_nodes,10.0.0.11:2404,1766337484.5641055,1766337484.5660853,1.979827880859375
1,three_nodes,10.0.0.11:2404,1766337484.7628465,1766337484.7644823,1.6357898712158203
1,three_nodes,10.0.0.11:2404,1766337485.0051897,1766337485.007031,1.8413066864013672
1,three_nodes,10.0.0.11:2404,1766337485.1638048,1766337485.1659443,2.139568328857422
1,three_nodes,10.0.0.11:2404,1766337485.3637302,1766337485.365528,1.7979145050048828
1,three_nodes,10.0.0.11:2404,1766337485.5639408,1766337485.5659113,1.970529556274414
1,three_nodes,10.0.0.11:2404,1766337485.7631474,1766337485.765166,2.0186901092529297
1,three_nodes,10.0.0.11:2404,1766337485.96245,1766337485.963949,1.4989376068115234
1,three_nodes,10.0.0.11:2404,1766337486.1633456,1766337486.1653452,1.9996166229248047
1,three_nodes,10.0.0.11:2404,1766337486.3630025,1766337486.3647003,1.6977787017822266
1,three_nodes,10.0.0.11:2404,1766337486.5639334,1766337486.5652287,1.295328140258789
1,three_nodes,10.0.0.11:2404,1766337486.763753,1766337486.7666004,2.847433090209961
1,three_nodes,10.0.0.11:2404,1766337486.9638276,1766337486.9660122,2.184629440307617
1,three_nodes,10.0.0.11:2404,1766337487.16373,1766337487.165777,2.0470619201660156
1,three_nodes,10.0.0.11:2404,1766337487.3629158,1766337487.3639252,1.0094642639160156
1,three_nodes,10.0.0.11:2404,1766337487.5640316,1766337487.5655792,1.5475749969482422
1,three_nodes,10.0.0.11:2404,1766337487.7634552,1766337487.7650383,1.583099365234375
1,three_nodes,10.0.0.11:2404,1766337487.9635913,1766337487.9655097,1.9183158874511719
1,three_nodes,10.0.0.11:2404,1766337488.1626372,1766337488.164953,2.3157596588134766
1,three_nodes,10.0.0.11:2404,1766337488.3620467,1766337488.3629432,0.896453857421875
1,three_nodes,10.0.0.11:2404,1766337488.5637517,1766337488.5664058,2.6540756225585938
1,three_nodes,10.0.0.11:2404,1766337488.7638595,1766337488.76609,2.230405807495117
1,three_nodes,10.0.0.11:2404,1766337488.963501,1766337488.965061,1.5599727630615234
1,three_nodes,10.0.0.11:2404,1766337489.1638138,1766337489.1656005,1.7867088317871094
1,three_nodes,10.0.0.11:2404,1766337489.3620918,1766337489.3628612,0.7693767547607422
1,three_nodes,10.0.0.11:2404,1766337489.5634813,1766337489.565445,1.9636154174804688
1,three_nodes,10.0.0.11:2404,1766337489.7623234,1766337489.76351,1.1866092681884766
1,three_nodes,10.0.0.11:2404,1766337489.9635668,1766337489.9651828,1.6160011291503906
1,three_nodes,10.0.0.11:2404,1766337490.1636686,1766337490.165628,1.9593238830566406
1,three_nodes,10.0.0.11:2404,1766337490.3627229,1766337490.3646147,1.8918514251708984
1,three_nodes,10.0.0.11:2404,1766337490.5638669,1766337490.5664542,2.5873184204101562
1,three_nodes,10.0.0.11:2404,1766337490.7636697,1766337490.766271,2.6013851165771484
1,three_nodes,10.0.0.11:2404,1766337490.9629922,1766337490.9654505,2.458333969116211
1,three_nodes,10.0.0.11:2404,1766337491.163413,1766337491.165225,1.811981201171875
1,three_nodes,10.0.0.11:2404,1766337491.362091,1766337491.3630614,0.9703636169433594
1,three_nodes,10.0.0.11:2404,1766337491.5639024,1766337491.5664046,2.5022029876708984
1,three_nodes,10.0.0.11:2404,1766337491.7641447,1766337491.7665787,2.4340152740478516
1,three_nodes,10.0.0.11:2404,1766337491.963713,1766337491.965996,2.2830963134765625
1,three_nodes,10.0.0.11:2404,1766337492.1634643,1766337492.16572,2.255678176879883
1,three_nodes,10.0.0.11:2404,1766337492.3623786,1766337492.3642304,1.851797103881836
1,three_nodes,10.0.0.11:2404,1766337492.5633206,1766337492.5656617,2.341032028198242
1,three_nodes,10.0.0.11:2404,1766337492.764028,1766337492.766496,2.4678707122802734
1,three_nodes,10.0.0.11:2404,1766337492.9634123,1766337492.9661336,2.7213096618652344
1,three_nodes,10.0.0.11:2404,1766337493.1626685,1766337493.164158,1.4896392822265625
1,three_nodes,10.0.0.11:2404,1766337493.362191,1766337493.3647246,2.5336742401123047
1,three_nodes,10.0.0.11:2404,1766337493.5638547,1766337493.566109,2.2542476654052734
1,three_nodes,10.0.0.11:2404,1766337493.7635338,1766337493.7655802,2.046346664428711
1,three_nodes,10.0.0.11:2404,1766337493.962997,1766337493.9646733,1.676321029663086
1,three_nodes,10.0.0.11:2404,1766337494.1635733,1766337494.16486,1.2867450714111328
1,three_nodes,10.0.0.11:2404,1766337494.363716,1766337494.3654354,1.7194747924804688
1,three_nodes,10.0.0.11:2404,1766337494.5642068,1766337494.5664065,2.1996498107910156
1,three_nodes,10.0.0.11:2404,1766337494.7624006,1766337494.7637556,1.3549327850341797
1,three_nodes,10.0.0.11:2404,1766337494.9629228,1766337494.9646375,1.7147064208984375
1,three_nodes,10.0.0.11:2404,1766337495.1629987,1766337495.1651053,2.1066665649414062
1,three_nodes,10.0.0.11:2404,1766337495.363248,1766337495.365143,1.8949508666992188
1,three_nodes,10.0.0.11:2404,1766337495.5640578,1766337495.5662522,2.1944046020507812
1,three_nodes,10.0.0.11:2404,1766337495.763726,1766337495.7656546,1.928567886352539
1,three_nodes,10.0.0.11:2404,1766337495.9620564,1766337495.9640272,1.9707679748535156
1,three_nodes,10.0.0.11:2404,1766337496.1632664,1766337496.1654284,2.1619796752929688
1,three_nodes,10.0.0.11:2404,1766337496.361973,1766337496.36317,1.1968612670898438
1,three_nodes,10.0.0.11:2404,1766337496.5640142,1766337496.5669117,2.897500991821289
1,three_nodes,10.0.0.11:2404,1766337496.763044,1766337496.7658412,2.7971267700195312
1,three_nodes,10.0.0.11:2404,1766337496.963111,1766337496.9655535,2.442598342895508
1,three_nodes,10.0.0.11:2404,1766337497.1636326,1766337497.1659088,2.276182174682617
1,three_nodes,10.0.0.11:2404,1766337497.363193,1766337497.365728,2.5348663330078125
1,three_nodes,10.0.0.11:2404,1766337497.563165,1766337497.565829,2.6640892028808594
1,three_nodes,10.0.0.11:2404,1766337497.7630231,1766337497.7654572,2.4340152740478516
1,three_nodes,10.0.0.11:2404,1766337497.962955,1766337497.964229,1.27410888671875
1,three_nodes,10.0.0.11:2404,1766337498.1631267,1766337498.1655731,2.446413040161133
1,three_nodes,10.0.0.11:2404,1766337498.3632805,1766337498.3656404,2.3598670959472656
1,three_nodes,10.0.0.11:2404,1766337498.5635912,1766337498.566009,2.4178028106689453
1,three_nodes,10.0.0.11:2404,1766337498.7627661,1766337498.7655375,2.7713775634765625
1,three_nodes,10.0.0.11:2404,1766337498.9624884,1766337498.964951,2.462625503540039
1,three_nodes,10.0.0.11:2404,1766337499.1627865,1766337499.1655655,2.7790069580078125
1,three_nodes,10.0.0.11:2404,1766337499.362993,1766337499.3656566,2.6636123657226562
1,three_nodes,10.0.0.11:2404,1766337499.562914,1766337499.5653608,2.446889877319336
1,three_nodes,10.0.0.11:2404,1766337499.763667,1766337499.7657187,2.0515918731689453
1,three_nodes,10.0.0.11:2404,1766337499.9633334,1766337499.9654078,2.0744800567626953
1,three_nodes,10.0.0.11:2404,1766337500.1647415,1766337500.1669836,2.2420883178710938
1,three_nodes,10.0.0.11:2404,1766337500.363522,1766337500.36586,2.337932586669922
1,three_nodes,10.0.0.11:2404,1766337500.5637426,1766337500.5660186,2.2759437561035156
1,three_nodes,10.0.0.11:2404,1766337500.7637703,1766337500.7661068,2.3365020751953125
