exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766337820.4730096,1766337820.4751897,2.1800994873046875
1,three_nodes,10.0.0.11:2404,1766337820.6733503,1766337820.6752486,1.8982887268066406
1,three_nodes,10.0.0.11:2404,1766337820.8732045,1766337820.8754551,2.25067138671875
1,three_nodes,10.0.0.11:2404,1766337821.0746593,1766337821.0771837,2.5243759155273438
1,three_nodes,10.0.0.11:2404,1766337821.2749012,1766337821.277571,2.669811248779297
1,three_nodes,10.0.0.11:2404,1766337821.473954,1766337821.4761717,2.2177696228027344
1,three_nodes,10.0.0.11:2404,1766337821.67389,1766337821.6762164,2.3262500762939453
1,three_nodes,10.0.0.11:2404,1766337821.872917,1766337821.8756254,2.70843505859375
1,three_nodes,10.0.0.11:2404,1766337822.0740204,1766337822.0769615,2.941131591796875
1,three_nodes,10.0.0.11:2404,1766337822.2741706,1766337822.276461,2.2902488708496094
1,three_nodes,10.0.0.11:2404,1766337822.4743154,1766337822.4765658,2.2504329681396484
1,three_nodes,10.0.0.11:2404,1766337822.6751018,1766337822.677023,1.9211769104003906
1,three_nodes,10.0.0.11:2404,1766337822.8744009,1766337822.8761995,1.7986297607421875
1,three_nodes,10.0.0.11:2404,1766337823.0730314,1766337823.0752103,2.1789073944091797
1,three_nodes,10.0.0.11:2404,1766337823.2744672,1766337823.2761774,1.7101764678955078
1,three_nodes,10.0.0.11:2404,1766337823.474152,1766337823.4762516,2.0995140075683594
1,three_nodes,10.0.0.11:2404,1766337823.6740808,1766337823.676201,2.1202564239501953
1,three_nodes,10.0.0.11:2404,1766337823.8733387,1766337823.8751862,1.8475055694580078
1,three_nodes,10.0.0.11:2404,1766337824.0749924,1766337824.077802,2.8095245361328125
1,three_nodes,10.0.0.11:2404,1766337824.2740433,1766337824.2769907,2.9473304748535156
1,three_nodes,10.0.0.11:2404,1766337824.475232,1766337824.4777203,2.488374710083008
1,three_nodes,10.0.0.11:2404,1766337824.6740334,1766337824.676158,2.1245479583740234
1,three_nodes,10.0.0.11:2404,1766337824.8744693,1766337824.8765955,2.1262168884277344
1,three_nodes,10.0.0.11:2404,1766337825.073623,1766337825.0757816,2.158641815185547
1,three_nodes,10.0.0.11:2404,1766337825.2746503,1766337825.2771652,2.5148391723632812
1,three_nodes,10.0.0.11:2404,1766337825.474529,1766337825.4772432,2.7141571044921875
1,three_nodes,10.0.0.11:2404,1766337825.6748013,1766337825.6770675,2.2661685943603516
1,three_nodes,10.0.0.11:2404,1766337825.8747,1766337825.876906,2.2058486938476562
1,three_nodes,10.0.0.11:2404,1766337826.0746136,1766337826.0769334,2.319812774658203
1,three_nodes,10.0.0.11:2404,1766337826.2741878,1766337826.2767463,2.558469772338867
1,three_nodes,10.0.0.11:2404,1766337826.4743903,1766337826.476594,2.203702926635742
1,three_nodes,10.0.0.11:2404,1766337826.6746254,1766337826.677146,2.5205612182617188
1,three_nodes,10.0.0.11:2404,1766337826.8749542,1766337826.8775704,2.6161670684814453
1,three_nodes,10.0.0.11:2404,1766337827.0745769,1766337827.0763667,1.7898082733154297
1,three_nodes,10.0.0.11:2404,1766337827.2740567,1766337827.2756495,1.592874526977539
1,three_nodes,10.0.0.11:2404,1766337827.474814,1766337827.4768202,2.0062923431396484
1,three_nodes,10.0.0.11:2404,1766337827.6743696,1766337827.676155,1.7855167388916016
1,three_nodes,10.0.0.11:2404,1766337827.8742657,1766337827.8759673,1.7015933990478516
1,three_nodes,10.0.0.11:2404,1766337828.0730388,1766337828.0743804,1.3415813446044922
1,three_nodes,10.0.0.11:2404,1766337828.2732806,1766337828.2742248,0.9441375732421875
1,three_nodes,10.0.0.11:2404,1766337828.4731162,1766337828.4740567,0.9405612945556641
1,three_nodes,10.0.0.11:2404,1766337828.674516,1766337828.6760044,1.4884471893310547
1,three_nodes,10.0.0.11:2404,1766337828.8737671,1766337828.8747005,0.9334087371826172
1,three_nodes,10.0.0.11:2404,1766337829.0730364,1766337829.0742395,1.2030601501464844
1,three_nodes,10.0.0.11:2404,1766337829.2731452,1766337829.2747595,1.6143321990966797
1,three_nodes,10.0.0.11:2404,1766337829.4735696,1766337829.4756827,2.1131038665771484
1,three_nodes,10.0.0.11:2404,1766337829.6740322,1766337829.6748981,0.865936279296875
1,three_nodes,10.0.0.11:2404,1766337829.8733354,1766337829.8747356,1.4002323150634766
1,three_nodes,10.0.0.11:2404,1766337830.073095,1766337830.0748065,1.7113685607910156
1,three_nodes,10.0.0.11:2404,1766337830.2739859,1766337830.2754045,1.4185905456542969
1,three_nodes,10.0.0.11:2404,1766337830.4730854,1766337830.4747818,1.6963481903076172
1,three_nodes,10.0.0.11:2404,1766337830.6731308,1766337830.6740603,0.9295940399169922
1,three_nodes,10.0.0.11:2404,1766337830.8738399,1766337830.874822,0.9820461273193359
1,three_nodes,10.0.0.11:2404,1766337831.1157532,1766337831.1172528,1.4996528625488281
