exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766337328.753458,1766337328.7743104,20.852327346801758
1,three_nodes,10.0.0.11:2404,1766337328.9545243,1766337328.9843235,29.799222946166992
1,three_nodes,10.0.0.11:2404,1766337329.1538727,1766337329.1763246,22.45187759399414
1,three_nodes,10.0.0.11:2404,1766337329.3543496,1766337329.370304,15.95449447631836
1,three_nodes,10.0.0.11:2404,1766337329.5544252,1766337329.5723102,17.88496971130371
1,three_nodes,10.0.0.11:2404,1766337329.7547822,1766337329.7833245,28.542280197143555
1,three_nodes,10.0.0.11:2404,1766337329.9533725,1766337329.9893239,35.95137596130371
1,three_nodes,10.0.0.11:2404,1766337330.1545627,1766337330.1743095,19.746780395507812
1,three_nodes,10.0.0.11:2404,1766337330.3547804,1766337330.3723042,17.523765563964844
1,three_nodes,10.0.0.11:2404,1766337330.554975,1766337330.5793142,24.33919906616211
1,three_nodes,10.0.0.11:2404,1766337330.755089,1766337330.7763104,21.221399307250977
1,three_nodes,10.0.0.11:2404,1766337330.954971,1766337330.9853244,30.353307723999023
1,three_nodes,10.0.0.11:2404,1766337331.155158,1766337331.1773093,22.15123176574707
1,three_nodes,10.0.0.11:2404,1766337331.3547344,1766337331.381313,26.578664779663086
1,three_nodes,10.0.0.11:2404,1766337331.5534046,1766337331.5853155,31.91089630126953
1,three_nodes,10.0.0.11:2404,1766337331.754132,1766337331.7813294,27.19736099243164
1,three_nodes,10.0.0.11:2404,1766337331.9542363,1766337331.9883044,34.06810760498047
1,three_nodes,10.0.0.11:2404,1766337332.1542847,1766337332.1723099,18.02515983581543
1,three_nodes,10.0.0.11:2404,1766337332.354208,1766337332.377305,23.09703826904297
1,three_nodes,10.0.0.11:2404,1766337332.556076,1766337332.5873208,31.244754791259766
1,three_nodes,10.0.0.11:2404,1766337332.7550251,1766337332.7713072,16.282081604003906
1,three_nodes,10.0.0.11:2404,1766337332.9536884,1766337332.9773207,23.632287979125977
1,three_nodes,10.0.0.11:2404,1766337333.1536067,1766337333.1853356,31.72898292541504
1,three_nodes,10.0.0.11:2404,1766337333.355264,1766337333.3814046,26.140689849853516
1,three_nodes,10.0.0.11:2404,1766337333.5546143,1766337333.582315,27.70066261291504
1,three_nodes,10.0.0.11:2404,1766337333.7552166,1766337333.7783175,23.100852966308594
1,three_nodes,10.0.0.11:2404,1766337333.9556541,1766337333.9893894,33.73527526855469
1,three_nodes,10.0.0.11:2404,1766337334.1547954,1766337334.1813128,26.517391204833984
1,three_nodes,10.0.0.11:2404,1766337334.355389,1766337334.3793173,23.928165435791016
1,three_nodes,10.0.0.11:2404,1766337334.5551722,1766337334.583329,28.156757354736328
1,three_nodes,10.0.0.11:2404,1766337334.7555242,1766337334.7843423,28.818130493164062
1,three_nodes,10.0.0.11:2404,1766337334.9549308,1766337334.984319,29.3881893157959
1,three_nodes,10.0.0.11:2404,1766337335.1547866,1766337335.1813266,26.540040969848633
1,three_nodes,10.0.0.11:2404,1766337335.3550026,1766337335.3833253,28.322696685791016
1,three_nodes,10.0.0.11:2404,1766337335.5549676,1766337335.5813043,26.336669921875
1,three_nodes,10.0.0.11:2404,1766337335.7550209,1766337335.7813263,26.305437088012695
1,three_nodes,10.0.0.11:2404,1766337335.9548755,1766337335.9883192,33.44368934631348
1,three_nodes,10.0.0.11:2404,1766337336.1553688,1766337336.1793253,23.9565372467041
1,three_nodes,10.0.0.11:2404,1766337336.3555143,1766337336.3943546,38.840293884277344
1,three_nodes,10.0.0.11:2404,1766337336.5547915,1766337336.5823185,27.5270938873291
1,three_nodes,10.0.0.11:2404,1766337336.7539773,1766337336.780322,26.344776153564453
1,three_nodes,10.0.0.11:2404,1766337336.9547575,1766337336.990367,35.60948371887207
1,three_nodes,10.0.0.11:2404,1766337337.1540508,1766337337.185337,31.286239624023438
1,three_nodes,10.0.0.11:2404,1766337337.3542953,1766337337.4143507,60.05549430847168
1,three_nodes,10.0.0.11:2404,1766337337.5550292,1766337337.5843356,29.306411743164062
1,three_nodes,10.0.0.11:2404,1766337337.7558074,1766337337.7853274,29.520034790039062
1,three_nodes,10.0.0.11:2404,1766337337.9554832,1766337337.9773145,21.831274032592773
1,three_nodes,10.0.0.11:2404,1766337338.1551476,1766337338.1863303,31.18276596069336
1,three_nodes,10.0.0.11:2404,1766337338.3554327,1766337338.3893168,33.88404846191406
1,three_nodes,10.0.0.11:2404,1766337338.5552173,1766337338.578307,23.08964729309082
1,three_nodes,10.0.0.11:2404,1766337338.754723,1766337338.7813902,26.667118072509766
1,three_nodes,10.0.0.11:2404,1766337338.9545963,1766337338.9773405,22.744178771972656
1,three_nodes,10.0.0.11:2404,1766337339.1547832,1766337339.1773148,22.531509399414062
1,three_nodes,10.0.0.11:2404,1766337339.3534942,1766337339.3743124,20.818233489990234
1,three_nodes,10.0.0.11:2404,1766337339.5950842,1766337339.6153088,20.224571228027344
1,three_nodes,10.0.0.11:2404,1766337339.7538598,1766337339.7763307,22.470951080322266
1,three_nodes,10.0.0.11:2404,1766337339.9557464,1766337339.9883869,32.64045715332031
1,three_nodes,10.0.0.11:2404,1766337340.1547625,1766337340.1923592,37.596702575683594
1,three_nodes,10.0.0.11:2404,1766337340.3550138,1766337340.404347,49.33309555053711
1,three_nodes,10.0.0.11:2404,1766337340.5540226,1766337340.5863345,32.31191635131836
1,three_nodes,10.0.0.11:2404,1766337340.754562,1766337340.7863357,31.773805618286133
1,three_nodes,10.0.0.11:2404,1766337340.954944,1766337340.9993374,44.39353942871094
1,three_nodes,10.0.0.11:2404,1766337341.1533995,1766337341.1993272,45.92776298522949
1,three_nodes,10.0.0.11:2404,1766337341.353472,1766337341.393322,39.84999656677246
1,three_nodes,10.0.0.11:2404,1766337341.5553303,1766337341.5853186,29.98828887939453
1,three_nodes,10.0.0.11:2404,1766337341.7553785,1766337341.7893162,33.937692642211914
1,three_nodes,10.0.0.11:2404,1766337341.9549623,1766337341.986319,31.3568115234375
1,three_nodes,10.0.0.11:2404,1766337342.15548,1766337342.1853116,29.831647872924805
1,three_nodes,10.0.0.11:2404,1766337342.355276,1766337342.3903198,35.04371643066406
1,three_nodes,10.0.0.11:2404,1766337342.555078,1766337342.5833068,28.228759765625
1,three_nodes,10.0.0.11:2404,1766337342.753502,1766337342.7863321,32.830238342285156
1,three_nodes,10.0.0.11:2404,1766337342.955519,1766337342.998433,42.91415214538574
1,three_nodes,10.0.0.11:2404,1766337343.1540408,1766337343.1833086,29.26778793334961
1,three_nodes,10.0.0.11:2404,1766337343.3552976,1766337343.3813167,26.01909637451172
1,three_nodes,10.0.0.11:2404,1766337343.5547955,1766337343.5843117,29.516220092773438
1,three_nodes,10.0.0.11:2404,1766337343.7550492,1766337343.7823117,27.262449264526367
1,three_nodes,10.0.0.11:2404,1766337343.9554968,1766337343.9843092,28.812408447265625
1,three_nodes,10.0.0.11:2404,1766337344.1553557,1766337344.1863143,30.95865249633789
1,three_nodes,10.0.0.11:2404,1766337344.3551993,1766337344.3894053,34.20591354370117
1,three_nodes,10.0.0.11:2404,1766337344.5551107,1766337344.586314,31.203269958496094
1,three_nodes,10.0.0.11:2404,1766337344.753588,1766337344.785319,31.731128692626953
1,three_nodes,10.0.0.11:2404,1766337344.9554307,1766337344.979312,23.881196975708008
1,three_nodes,10.0.0.11:2404,1766337345.1551874,1766337345.1913154,36.12804412841797
1,three_nodes,10.0.0.11:2404,1766337345.3552523,1766337345.3883188,33.066511154174805
1,three_nodes,10.0.0.11:2404,1766337345.5537987,1766337345.578324,24.52540397644043
1,three_nodes,10.0.0.11:2404,1766337345.7552507,1766337345.7825432,27.292490005493164
1,three_nodes,10.0.0.11:2404,1766337345.953534,1766337345.9793305,25.79665184020996
1,three_nodes,10.0.0.11:2404,1766337346.1551456,1766337346.1803174,25.171756744384766
1,three_nodes,10.0.0.11:2404,1766337346.354016,1766337346.3823118,28.29575538635254
1,three_nodes,10.0.0.11:2404,1766337346.555354,1766337346.59632,40.96579551696777
1,three_nodes,10.0.0.11:2404,1766337346.755063,1766337346.7993224,44.25930976867676
1,three_nodes,10.0.0.11:2404,1766337346.9547331,1766337346.9963396,41.60642623901367
1,three_nodes,10.0.0.11:2404,1766337347.1551485,1766337347.194369,39.220571517944336
1,three_nodes,10.0.0.11:2404,1766337347.355386,1766337347.3873246,31.938552856445312
1,three_nodes,10.0.0.11:2404,1766337347.5535493,1766337347.590335,36.78560256958008
1,three_nodes,10.0.0.11:2404,1766337347.7553787,1766337347.795333,39.954185485839844
1,three_nodes,10.0.0.11:2404,1766337347.9538236,1766337347.971361,17.537355422973633
1,three_nodes,10.0.0.11:2404,1766337348.1554995,1766337348.186329,30.829429626464844
1,three_nodes,10.0.0.11:2404,1766337348.3544338,1766337348.3923225,37.88876533508301
1,three_nodes,10.0.0.11:2404,1766337348.5550094,1766337348.5843103,29.300928115844727
1,three_nodes,10.0.0.11:2404,1766337348.7546532,1766337348.7803085,25.655269622802734
1,three_nodes,10.0.0.11:2404,1766337348.9535677,1766337348.9943404,40.77267646789551
1,three_nodes,10.0.0.11:2404,1766337349.1560874,1766337349.1803145,24.227142333984375
1,three_nodes,10.0.0.11:2404,1766337349.3553636,1766337349.3763094,20.94578742980957
1,three_nodes,10.0.0.11:2404,1766337349.5553987,1766337349.584322,28.92327308654785
1,three_nodes,10.0.0.11:2404,1766337349.7547507,1766337349.7863102,31.559467315673828
1,three_nodes,10.0.0.11:2404,1766337349.9554641,1766337349.982312,26.84783935546875
1,three_nodes,10.0.0.11:2404,1766337350.1552558,1766337350.1863241,31.06832504272461
1,three_nodes,10.0.0.11:2404,1766337350.35543,1766337350.3793163,23.886442184448242
1,three_nodes,10.0.0.11:2404,1766337350.5561934,1766337350.5854456,29.252290725708008
1,three_nodes,10.0.0.11:2404,1766337350.754481,1766337350.7903209,35.83979606628418
1,three_nodes,10.0.0.11:2404,1766337350.9534066,1766337350.9823115,28.90491485595703
1,three_nodes,10.0.0.11:2404,1766337351.1552587,1766337351.1823134,27.054786682128906
1,three_nodes,10.0.0.11:2404,1766337351.3537788,1766337351.382307,28.528213500976562
1,three_nodes,10.0.0.11:2404,1766337351.5552807,1766337351.5813134,26.032686233520508
1,three_nodes,10.0.0.11:2404,1766337351.7552674,1766337351.7833176,28.05018424987793
1,three_nodes,10.0.0.11:2404,1766337351.9536352,1766337351.978313,24.677753448486328
1,three_nodes,10.0.0.11:2404,1766337352.155376,1766337352.192334,36.95797920227051
1,three_nodes,10.0.0.11:2404,1766337352.3544693,1766337352.3973339,42.86456108093262
1,three_nodes,10.0.0.11:2404,1766337352.5550425,1766337352.580312,25.269508361816406
1,three_nodes,10.0.0.11:2404,1766337352.7543242,1766337352.7813227,26.998519897460938
1,three_nodes,10.0.0.11:2404,1766337352.9540405,1766337352.9843202,30.27963638305664
1,three_nodes,10.0.0.11:2404,1766337353.1544938,1766337353.1923356,37.841796875
1,three_nodes,10.0.0.11:2404,1766337353.3553767,1766337353.3763099,20.933151245117188
1,three_nodes,10.0.0.11:2404,1766337353.555086,1766337353.5833173,28.231382369995117
1,three_nodes,10.0.0.11:2404,1766337353.754268,1766337353.7813158,27.04787254333496
1,three_nodes,10.0.0.11:2404,1766337353.95503,1766337353.9763224,21.292448043823242
