ts,flow_id,model_version,p0,p1,p2,flow total IEC104_S_Message packets,init bw window bytes,init fw window bytes,flow total IEC104_U_Message packets,flow ACK flag count,flow PSH flag count,total flow packets,bw total IEC104_U_Message packets,fw_subflow_bytes,fw_subflow_packets,flow packet APDU length var,fw IAT std,fw total IEC104_U_Message packets,total fw packets,fw packets APDU total length
1766219807.4231021,10.0.0.12:2404|10.0.0.99:36303|6|w15,rf_model_three.pkl,0.04666666666666667,0.7610599764312646,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.814655693725104,2.0,5.0,54.0
1766219866.7811131,10.0.0.11:59768|10.0.0.17:2404|6|w16,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,13.0,510.0,502.0,0.0,241.0,134.0,241.0,0.0,7191.0,107.0,17.505513477389172,0.5126189695224075,0.0,107.0,129.0
1766219866.7848911,10.0.0.11:38050|10.0.0.14:2404|6|w16,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,19.0,510.0,501.0,0.0,292.0,186.0,292.0,0.0,7161.0,106.0,17.980720314487144,0.5029489788465107,0.0,106.0,165.0
1766219866.9324224,10.0.0.11:41112|10.0.0.16:2404|6|w16,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,30.0,510.0,501.0,0.0,397.0,282.0,397.0,0.0,7821.0,115.0,18.632526029877738,0.4735577490139315,0.0,115.0,231.0
1766219866.9336722,10.0.0.11:47248|10.0.0.18:2404|6|w16,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,357.0,242.0,357.0,0.0,7791.0,115.0,18.33462536711977,0.4538219130162811,0.0,115.0,201.0
1766219867.079647,10.0.0.11:49760|10.0.0.13:2404|6|w16,rf_model_three.pkl,0.64,0.2093545796411367,0.15064542035886327,9.0,510.0,501.0,0.0,169.0,97.0,169.0,0.0,4857.0,72.0,13.415028164523335,1.2385281690909664,0.0,72.0,105.0
1766219867.087549,10.0.0.11:59748|10.0.0.12:2404|6|w16,rf_model_three.pkl,0.5666666666666667,0.22669792285885998,0.20663541047447329,2.0,510.0,502.0,0.0,26.0,13.0,26.0,0.0,921.0,13.0,13.905325443787007,2.7550471558254945,0.0,13.0,63.0
1766219867.2340944,10.0.0.14:2404|10.0.0.99:42097|6|w16,rf_model_three.pkl,0.11,0.6204589947089948,0.2695410052910052,1.0,502.0,260.0,2.0,3.0,3.0,3.0,1.0,144.0,2.0,0.0,0.0,1.0,2.0,12.0
1766219867.2445974,10.0.0.11:33072|10.0.0.15:2404|6|w16,rf_model_three.pkl,0.64,0.1989545796411367,0.1610454203588633,3.0,510.0,501.0,0.0,53.0,27.0,53.0,0.0,1785.0,26.0,14.117969821673569,3.13917846581932,0.0,26.0,69.0
1766219867.3764765,10.0.0.12:2404|10.0.0.99:39771|6|w16,rf_model_three.pkl,0.04666666666666667,0.7610599764312646,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.792047005692521,2.0,5.0,54.0
1766219867.396258,10.0.0.14:2404|10.0.0.99:34245|6|w16,rf_model_three.pkl,0.05,0.5268809725593442,0.4231190274406558,1.0,502.0,260.0,4.0,9.0,9.0,9.0,2.0,466.0,6.0,31.20987654320986,4.861016855509817,2.0,6.0,70.0
1766219926.7975018,10.0.0.11:59768|10.0.0.17:2404|6|w17,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,13.0,510.0,502.0,0.0,244.0,128.0,244.0,0.0,7768.0,116.0,18.15625,0.5207244838376092,0.0,116.0,112.0
1766219926.8188405,10.0.0.11:47248|10.0.0.18:2404|6|w17,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,337.0,236.0,337.0,0.0,6850.0,101.0,18.731542660155128,0.43970874324539516,0.0,101.0,184.0
1766219927.0248466,10.0.0.11:38050|10.0.0.14:2404|6|w17,rf_model_three.pkl,0.6133333333333333,0.21909928328057718,0.16756738338608948,20.0,510.0,501.0,0.0,291.0,180.0,291.0,0.0,7480.0,111.0,19.35320987654319,0.4930232822600424,0.0,111.0,154.0
1766219927.035305,10.0.0.11:41112|10.0.0.16:2404|6|w17,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,31.0,510.0,501.0,0.0,378.0,287.0,378.0,0.0,6226.0,91.0,18.883050662263713,0.4587016297854306,0.0,91.0,220.0
1766219927.1484542,10.0.0.11:59748|10.0.0.12:2404|6|w17,rf_model_three.pkl,0.5533333333333333,0.23940250476932423,0.20726416189734234,4.0,510.0,502.0,0.0,28.0,14.0,28.0,0.0,982.0,14.0,21.346938775510182,3.1725525974326723,0.0,14.0,58.0
1766219927.190275,10.0.0.11:49760|10.0.0.13:2404|6|w17,rf_model_three.pkl,0.64,0.20268791297447006,0.15731208702552996,10.0,510.0,501.0,0.0,195.0,99.0,195.0,0.0,6430.0,96.0,14.4746454443424,1.0661367272467919,0.0,96.0,94.0
1766219927.2877903,10.0.0.11:33072|10.0.0.15:2404|6|w17,rf_model_three.pkl,0.6266666666666667,0.19538447382103089,0.17794885951230244,5.0,510.0,501.0,0.0,50.0,25.0,50.0,0.0,1714.0,25.0,22.998400000000004,3.4845086232767497,0.0,25.0,64.0
1766219927.3333411,10.0.0.12:2404|10.0.0.99:34253|6|w17,rf_model_three.pkl,0.04666666666666667,0.7610599764312644,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.814791938326476,2.0,5.0,54.0
1766219927.4123921,10.0.0.14:2404|10.0.0.99:41587|6|w17,rf_model_three.pkl,0.05,0.5268809725593442,0.4231190274406559,1.0,502.0,260.0,4.0,9.0,9.0,9.0,2.0,466.0,6.0,31.20987654320986,4.802266151747994,2.0,6.0,70.0
1766219986.833718,10.0.0.14:2404|10.0.0.99:39663|6|w18,rf_model_three.pkl,0.06333333333333334,0.6791863925049856,0.2574802741616811,1.0,502.0,260.0,5.0,10.0,10.0,10.0,2.0,538.0,7.0,30.239999999999995,3.7230558822245623,3.0,7.0,76.0
1766219986.840715,10.0.0.12:2404|10.0.0.99:34599|6|w18,rf_model_three.pkl,0.04666666666666667,0.7610599764312644,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.818919438006619,2.0,5.0,54.0
1766219986.9944386,10.0.0.11:47248|10.0.0.18:2404|6|w18,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,27.0,510.0,502.0,0.0,354.0,253.0,354.0,0.0,6879.0,101.0,18.835007577059514,0.4497339752179846,0.0,101.0,213.0
1766219987.003029,10.0.0.11:59768|10.0.0.17:2404|6|w18,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,14.0,510.0,502.0,0.0,263.0,139.0,263.0,0.0,8319.0,124.0,18.031778893432033,0.5326900242872608,0.0,124.0,135.0
1766219987.1329653,10.0.0.11:41112|10.0.0.16:2404|6|w18,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,31.0,510.0,501.0,0.0,385.0,292.0,385.0,0.0,6375.0,93.0,18.599021861512426,0.467442914291695,0.0,93.0,237.0
1766219987.1417644,10.0.0.11:59748|10.0.0.12:2404|6|w18,rf_model_three.pkl,0.56,0.23692808201131943,0.20307191798868054,3.0,510.0,502.0,0.0,27.0,14.0,27.0,0.0,993.0,14.0,17.92346938775509,4.006569281493271,0.0,14.0,69.0
1766219987.285647,10.0.0.11:38050|10.0.0.14:2404|6|w18,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,20.0,510.0,501.0,0.0,269.0,189.0,269.0,0.0,5451.0,80.0,18.545449455502308,0.4588556471456121,0.0,80.0,171.0
1766219987.2953079,10.0.0.11:49760|10.0.0.13:2404|6|w18,rf_model_three.pkl,0.64,0.2093545796411367,0.15064542035886327,10.0,510.0,501.0,0.0,177.0,99.0,177.0,0.0,5259.0,78.0,14.328333843485382,1.2134785687629976,0.0,78.0,111.0
1766219987.3746452,10.0.0.11:33072|10.0.0.15:2404|6|w18,rf_model_three.pkl,0.6333333333333333,0.1935344738210309,0.17313219284563577,4.0,510.0,501.0,0.0,53.0,29.0,53.0,0.0,1659.0,24.0,17.005945303210524,3.52137150900757,0.0,24.0,75.0
1766220046.9158518,10.0.0.11:59768|10.0.0.17:2404|6|w19,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,14.0,510.0,502.0,0.0,248.0,133.0,248.0,0.0,7708.0,115.0,18.688111255582612,0.5567062749270658,0.0,115.0,118.0
1766220046.9275029,10.0.0.11:41112|10.0.0.16:2404|6|w19,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,30.0,510.0,501.0,0.0,383.0,284.0,383.0,0.0,6748.0,99.0,18.517605633802816,0.48167336568776864,0.0,99.0,214.0
1766220047.0412629,10.0.0.11:47248|10.0.0.18:2404|6|w19,rf_model_three.pkl,0.6133333333333333,0.21909928328057712,0.16756738338608948,25.0,510.0,502.0,0.0,348.0,230.0,348.0,0.0,7972.0,118.0,19.132022684310016,0.49341298208032164,0.0,118.0,184.0
1766220047.091171,10.0.0.11:38050|10.0.0.14:2404|6|w19,rf_model_three.pkl,0.62,0.21909928328057718,0.1609007167194228,17.0,510.0,501.0,0.0,258.0,173.0,258.0,0.0,5746.0,85.0,17.374920645527823,0.48664155488465527,0.0,85.0,136.0
1766220047.1997068,10.0.0.14:2404|10.0.0.99:41223|6|w19,rf_model_three.pkl,0.05,0.5268809725593443,0.4231190274406559,1.0,502.0,260.0,4.0,9.0,9.0,9.0,2.0,466.0,6.0,31.20987654320986,4.406165558904874,2.0,6.0,70.0
1766220047.2466385,10.0.0.12:2404|10.0.0.99:38675|6|w19,rf_model_three.pkl,0.04666666666666667,0.7610599764312646,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.823891784507362,2.0,5.0,54.0
1766220047.351045,10.0.0.11:49760|10.0.0.13:2404|6|w19,rf_model_three.pkl,0.64,0.20268791297447006,0.15731208702552996,10.0,510.0,501.0,0.0,184.0,97.0,184.0,0.0,5836.0,87.0,14.453183122542214,1.1639953998243362,0.0,87.0,94.0
1766220047.3919451,10.0.0.11:33072|10.0.0.15:2404|6|w19,rf_model_three.pkl,0.63,0.19112022880678586,0.17887977119321416,4.0,510.0,501.0,0.0,48.0,25.0,48.0,0.0,1576.0,23.0,19.606400000000008,3.2647561038845336,0.0,23.0,58.0
1766220047.4942446,10.0.0.11:59748|10.0.0.12:2404|6|w19,rf_model_three.pkl,0.56,0.22454969091651042,0.21545030908348953,3.0,510.0,502.0,0.0,26.0,13.0,26.0,0.0,910.0,13.0,18.591715976331358,3.114318737993216,0.0,13.0,52.0
1766220047.5307436,10.0.0.12:2404|10.0.0.99:36241|6|w19,rf_model_three.pkl,0.013333333333333334,0.5394404778199171,0.4472261888467494,0.0,502.0,260.0,2.0,5.0,5.0,5.0,1.0,240.0,3.0,32.95999999999998,5.048870325088501,1.0,3.0,42.0
1766220047.611366,10.0.0.14:2404|10.0.0.99:46207|6|w19,rf_model_three.pkl,0.07333333333333333,0.4073597427476738,0.5193069239189928,0.0,502.0,260.0,2.0,3.0,3.0,3.0,1.0,154.0,2.0,22.2222222222222,0.0,1.0,2.0,22.0
1766220106.799148,10.0.0.11:41112|10.0.0.16:2404|6|w20,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,30.0,510.0,501.0,0.0,371.0,281.0,371.0,0.0,6154.0,90.0,18.691024683071362,0.46419608865131673,0.0,90.0,214.0
1766220106.8295798,10.0.0.11:38050|10.0.0.14:2404|6|w20,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,19.0,510.0,501.0,0.0,268.0,179.0,268.0,0.0,6022.0,89.0,18.595986392434668,0.5357207987539709,0.0,89.0,148.0
1766220106.9831922,10.0.0.11:59768|10.0.0.17:2404|6|w20,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,14.0,510.0,502.0,0.0,241.0,132.0,241.0,0.0,7312.0,109.0,18.802800734618927,0.5814401531277168,0.0,109.0,118.0
1766220106.9923413,10.0.0.11:47248|10.0.0.18:2404|6|w20,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,341.0,238.0,341.0,0.0,6982.0,103.0,18.608360991455413,0.47585048663222196,0.0,103.0,184.0
1766220107.1107152,10.0.0.11:59748|10.0.0.12:2404|6|w20,rf_model_three.pkl,0.5566666666666666,0.22301882671897952,0.22031450661435376,3.0,510.0,502.0,0.0,24.0,12.0,24.0,0.0,844.0,12.0,19.72222222222223,2.9537792558999043,0.0,12.0,52.0
1766220107.115588,10.0.0.11:49760|10.0.0.13:2404|6|w20,rf_model_three.pkl,0.64,0.19602124630780338,0.1639787536921966,9.0,510.0,501.0,0.0,175.0,96.0,175.0,0.0,5302.0,79.0,13.546875,1.256046872264509,0.0,79.0,88.0
1766220107.2625873,10.0.0.11:33072|10.0.0.15:2404|6|w20,rf_model_three.pkl,0.6433333333333333,0.19512022880678587,0.16154643785988082,3.0,510.0,501.0,0.0,48.0,24.0,48.0,0.0,1636.0,24.0,15.805555555555571,3.21900642898341,0.0,24.0,52.0
1766220107.266506,10.0.0.14:2404|10.0.0.99:46207|6|w20,rf_model_three.pkl,0.013333333333333334,0.73986400800118,0.24680265866548629,1.0,502.0,260.0,2.0,6.0,6.0,6.0,1.0,312.0,4.0,33.888888888888914,4.586375523344202,1.0,4.0,48.0
1766220107.368701,10.0.0.12:2404|10.0.0.99:36241|6|w20,rf_model_three.pkl,0.11,0.6204589947089948,0.2695410052910052,1.0,502.0,260.0,2.0,3.0,3.0,3.0,1.0,144.0,2.0,0.0,0.0,1.0,2.0,12.0
1766220107.37938,10.0.0.14:2404|10.0.0.99:45331|6|w20,rf_model_three.pkl,0.013333333333333334,0.44564992730289854,0.5410167393637683,0.0,502.0,260.0,2.0,6.0,6.0,6.0,1.0,322.0,4.0,28.888888888888857,4.58188633953335,1.0,4.0,58.0
1766220107.444345,10.0.0.12:2404|10.0.0.99:35655|6|w20,rf_model_three.pkl,0.05333333333333334,0.5986265626925479,0.3480401039741189,0.0,502.0,260.0,4.0,7.0,7.0,7.0,2.0,312.0,4.0,32.979591836734684,4.765614629709075,2.0,4.0,48.0
1766220166.8029294,10.0.0.11:38050|10.0.0.14:2404|6|w21,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,18.0,510.0,501.0,0.0,271.0,181.0,271.0,0.0,6099.0,90.0,17.561551845181782,0.5147245316091508,0.0,90.0,159.0
1766220166.8063903,10.0.0.11:47248|10.0.0.18:2404|6|w21,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,26.0,510.0,502.0,0.0,364.0,250.0,364.0,0.0,7731.0,114.0,18.424144000000013,0.48281373425664714,0.0,114.0,207.0
1766220166.9170876,10.0.0.11:41112|10.0.0.16:2404|6|w21,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,32.0,510.0,501.0,0.0,385.0,297.0,385.0,0.0,6051.0,88.0,18.841093312473845,0.44561260432267513,0.0,88.0,243.0
1766220166.921257,10.0.0.11:59748|10.0.0.12:2404|6|w21,rf_model_three.pkl,0.5533333333333333,0.24141674978356928,0.20524991688309732,3.0,510.0,502.0,0.0,28.0,14.0,28.0,0.0,993.0,14.0,17.92346938775509,2.5160370351840804,0.0,14.0,69.0
1766220167.0274346,10.0.0.11:59768|10.0.0.17:2404|6|w21,rf_model_three.pkl,0.62,0.21909928328057718,0.1609007167194228,12.0,510.0,502.0,0.0,251.0,133.0,251.0,0.0,7911.0,118.0,16.502346090790923,0.5370890910250717,0.0,118.0,123.0
1766220167.0357616,10.0.0.12:2404|10.0.0.99:35655|6|w21,rf_model_three.pkl,0.03,0.9404166666666667,0.029583333333333333,1.0,0.0,260.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,0.0,0.0,0.0,1.0,6.0
1766220167.1241963,10.0.0.11:49760|10.0.0.13:2404|6|w21,rf_model_three.pkl,0.64,0.2093545796411367,0.15064542035886327,10.0,510.0,501.0,0.0,188.0,99.0,188.0,0.0,5985.0,89.0,14.328333843485382,1.1425334149745052,0.0,89.0,111.0
1766220167.12918,10.0.0.11:33072|10.0.0.15:2404|6|w21,rf_model_three.pkl,0.64,0.1989545796411367,0.1610454203588633,3.0,510.0,501.0,0.0,56.0,29.0,56.0,0.0,1851.0,27.0,14.832342449464875,3.091002942174963,0.0,27.0,69.0
1766220167.224193,10.0.0.14:2404|10.0.0.99:45331|6|w21,rf_model_three.pkl,0.11,0.6204589947089948,0.2695410052910052,1.0,502.0,260.0,2.0,3.0,3.0,3.0,1.0,144.0,2.0,0.0,0.0,1.0,2.0,12.0
1766220167.225498,10.0.0.14:2404|10.0.0.99:39587|6|w21,rf_model_three.pkl,0.04666666666666667,0.7245937973411566,0.2287395359921768,0.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,394.0,5.0,31.75,4.3733688883288435,2.0,5.0,64.0
1766220167.2859702,10.0.0.12:2404|10.0.0.99:41417|6|w21,rf_model_three.pkl,0.04666666666666667,0.7610599764312644,0.192273356902069,1.0,502.0,260.0,4.0,8.0,8.0,8.0,2.0,384.0,5.0,31.4375,4.807588601545494,2.0,5.0,54.0
1766220226.9244077,10.0.0.11:47248|10.0.0.18:2404|6|w22,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,348.0,236.0,348.0,0.0,7576.0,112.0,18.731542660155128,0.48589570954214983,0.0,112.0,184.0
1766220226.9367623,10.0.0.11:59768|10.0.0.17:2404|6|w22,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,14.0,510.0,502.0,0.0,237.0,130.0,237.0,0.0,7180.0,107.0,19.030532544378673,0.5782928060318465,0.0,107.0,118.0
1766220227.084969,10.0.0.11:38050|10.0.0.14:2404|6|w22,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,18.0,510.0,501.0,0.0,274.0,175.0,274.0,0.0,6676.0,99.0,18.089338775510157,0.5012206215663413,0.0,99.0,142.0
1766220227.0957618,10.0.0.14:2404|10.0.0.99:39587|6|w22,rf_model_three.pkl,0.03,0.9404166666666667,0.029583333333333333,1.0,0.0,260.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,0.0,0.0,0.0,1.0,6.0
1766220227.206281,10.0.0.11:41112|10.0.0.16:2404|6|w22,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,30.0,510.0,501.0,0.0,354.0,284.0,354.0,0.0,4834.0,70.0,18.517605633802816,0.32593060671325785,0.0,70.0,214.0
1766220227.2500613,10.0.0.11:59748|10.0.0.12:2404|6|w22,rf_model_three.pkl,0.56,0.22206291842973794,0.21793708157026204,3.0,510.0,502.0,0.0,26.0,13.0,26.0,0.0,910.0,13.0,18.591715976331358,3.403037570601878,0.0,13.0,52.0
1766220227.3504486,10.0.0.11:49760|10.0.0.13:2404|6|w22,rf_model_three.pkl,0.64,0.20268791297447006,0.15731208702552996,10.0,510.0,501.0,0.0,171.0,97.0,171.0,0.0,4978.0,74.0,14.453183122542214,1.219107806436492,0.0,74.0,94.0
1766220227.4006057,10.0.0.11:33072|10.0.0.15:2404|6|w22,rf_model_three.pkl,0.63,0.19303217849232043,0.17696782150767956,3.0,510.0,501.0,2.0,38.0,25.0,38.0,1.0,916.0,13.0,21.001599999999996,3.4042055929693618,1.0,13.0,58.0
1766220227.507329,10.0.0.14:2404|10.0.0.99:43167|6|w22,rf_model_three.pkl,0.006666666666666667,0.6053175250556965,0.388015808277637,1.0,502.0,260.0,3.0,10.0,10.0,10.0,1.0,646.0,8.0,28.639999999999986,4.378098280225365,2.0,8.0,102.0
1766220227.5551183,10.0.0.12:2404|10.0.0.99:39959|6|w22,rf_model_three.pkl,0.01,0.661340986866076,0.3286590131339238,1.0,502.0,260.0,3.0,11.0,11.0,11.0,1.0,712.0,9.0,27.10743801652893,4.5649865732394055,2.0,9.0,118.0
